ID_Ubicacion;Id_Guia;OrigenDestino
467;1;O
2038;2;O
3140;3;O
2858;4;O
1502;5;O
1349;6;O
992;7;O
3307;8;O
3222;9;O
599;10;O
569;11;O
1066;12;O
388;13;O
2624;14;O
1660;15;O
1438;16;O
2019;17;O
122;18;O
2953;19;O
1233;20;O
2597;21;O
3286;22;O
2904;23;O
875;24;O
1084;25;O
1951;26;O
462;27;O
1146;28;O
2158;29;O
3142;30;O
3266;31;O
10;32;O
2833;33;O
1618;34;O
1156;35;O
3250;36;O
1500;37;O
1580;38;O
1649;39;O
377;40;O
2615;41;O
1492;42;O
2115;43;O
2383;44;O
2564;45;O
593;46;O
787;47;O
2353;48;O
835;49;O
2898;50;O
577;51;O
3288;52;O
3284;53;O
222;54;O
1980;55;O
1934;56;O
3249;57;O
1313;58;O
2855;59;O
3367;60;O
1272;61;O
1847;62;O
2713;63;O
3391;64;O
3332;65;O
797;66;O
2464;67;O
2077;68;O
889;69;O
519;70;O
3080;71;O
3368;72;O
209;73;O
3242;74;O
588;75;O
1657;76;O
754;77;O
1956;78;O
3493;79;O
28;80;O
1228;81;O
2785;82;O
2157;83;O
2541;84;O
3546;85;O
1656;86;O
2985;87;O
1440;88;O
210;89;O
184;90;O
3337;91;O
3263;92;O
1604;93;O
2784;94;O
558;95;O
433;96;O
2777;97;O
2480;98;O
1142;99;O
495;100;O
30;101;O
2341;102;O
461;103;O
1719;104;O
1499;105;O
1960;106;O
3440;107;O
1834;108;O
587;109;O
2949;110;O
1449;111;O
121;112;O
2584;113;O
1003;114;O
2516;115;O
1508;116;O
2414;117;O
2725;118;O
3356;119;O
3649;120;O
108;121;O
2178;122;O
3522;123;O
2968;124;O
2536;125;O
850;126;O
3646;127;O
249;128;O
2659;129;O
1504;130;O
2863;131;O
3378;132;O
3046;133;O
1644;134;O
3524;135;O
698;136;O
1337;137;O
1475;138;O
2550;139;O
2097;140;O
2789;141;O
1586;142;O
1723;143;O
932;144;O
102;145;O
1630;146;O
615;147;O
3564;148;O
3334;149;O
554;150;O
688;151;O
3462;152;O
2335;153;O
1686;154;O
3559;155;O
521;156;O
1927;157;O
731;158;O
2355;159;O
2780;160;O
404;161;O
2165;162;O
2960;163;O
353;164;O
3333;165;O
1856;166;O
3313;167;O
1323;168;O
2164;169;O
610;170;O
3139;171;O
2868;172;O
2654;173;O
3303;174;O
3428;175;O
865;176;O
3345;177;O
827;178;O
2014;179;O
2203;180;O
321;181;O
2810;182;O
2447;183;O
2552;184;O
2974;185;O
2032;186;O
2213;187;O
130;188;O
927;189;O
1645;190;O
2210;191;O
2668;192;O
535;193;O
3394;194;O
1198;195;O
810;196;O
1479;197;O
1109;198;O
2646;199;O
1056;200;O
1430;201;O
782;202;O
1852;203;O
3056;204;O
3189;205;O
1962;206;O
3355;207;O
2152;208;O
2130;209;O
3289;210;O
3227;211;O
3241;212;O
2123;213;O
680;214;O
2793;215;O
2343;216;O
667;217;O
2716;218;O
2931;219;O
342;220;O
3216;221;O
1523;222;O
599;223;O
1555;224;O
851;225;O
1146;226;O
2430;227;O
538;228;O
1857;229;O
2632;230;O
871;231;O
2950;232;O
1377;233;O
2114;234;O
2472;235;O
3058;236;O
2747;237;O
2839;238;O
1966;239;O
2758;240;O
624;241;O
129;242;O
2337;243;O
2672;244;O
54;245;O
3312;246;O
315;247;O
1385;248;O
2993;249;O
549;250;O
2367;251;O
2559;252;O
476;253;O
932;254;O
2730;255;O
3432;256;O
2440;257;O
1104;258;O
3369;259;O
1138;260;O
2494;261;O
2793;262;O
2514;263;O
2607;264;O
1535;265;O
3492;266;O
3552;267;O
3420;268;O
1240;269;O
281;270;O
3257;271;O
2551;272;O
3049;273;O
591;274;O
144;275;O
1403;276;O
3450;277;O
283;278;O
1139;279;O
505;280;O
3644;281;O
214;282;O
3027;283;O
947;284;O
3096;285;O
300;286;O
1482;287;O
670;288;O
3614;289;O
3202;290;O
2339;291;O
3439;292;O
3584;293;O
107;294;O
2209;295;O
1375;296;O
1922;297;O
1136;298;O
1736;299;O
226;300;O
693;301;O
2886;302;O
755;303;O
2839;304;O
2936;305;O
2348;306;O
3214;307;O
1144;308;O
1789;309;O
270;310;O
828;311;O
2325;312;O
41;313;O
372;314;O
1086;315;O
2732;316;O
706;317;O
792;318;O
3475;319;O
2285;320;O
3024;321;O
631;322;O
2622;323;O
614;324;O
3334;325;O
529;326;O
548;327;O
2026;328;O
776;329;O
3394;330;O
350;331;O
2953;332;O
1673;333;O
2008;334;O
2032;335;O
767;336;O
2567;337;O
969;338;O
600;339;O
967;340;O
3519;341;O
3498;342;O
594;343;O
2847;344;O
2097;345;O
1119;346;O
1357;347;O
1784;348;O
2907;349;O
479;350;O
3358;351;O
461;352;O
2454;353;O
1794;354;O
2143;355;O
999;356;O
2058;357;O
3158;358;O
930;359;O
3330;360;O
3590;361;O
2688;362;O
2017;363;O
3426;364;O
3309;365;O
1671;366;O
2125;367;O
3482;368;O
974;369;O
770;370;O
609;371;O
3493;372;O
157;373;O
3665;374;O
1862;375;O
841;376;O
3143;377;O
3304;378;O
1943;379;O
1574;380;O
3106;381;O
271;382;O
3167;383;O
970;384;O
1242;385;O
2105;386;O
128;387;O
2090;388;O
732;389;O
611;390;O
2046;391;O
1757;392;O
1187;393;O
966;394;O
2532;395;O
418;396;O
1272;397;O
1630;398;O
962;399;O
252;400;O
3113;401;O
1152;402;O
3296;403;O
187;404;O
2616;405;O
2521;406;O
1079;407;O
1655;408;O
105;409;O
987;410;O
1318;411;O
1522;412;O
1144;413;O
3469;414;O
2893;415;O
1244;416;O
797;417;O
1339;418;O
2273;419;O
2531;420;O
95;421;O
901;422;O
2942;423;O
1996;424;O
975;425;O
1143;426;O
1320;427;O
2423;428;O
2546;429;O
2669;430;O
1566;431;O
2106;432;O
2891;433;O
285;434;O
418;435;O
2386;436;O
3626;437;O
2463;438;O
3106;439;O
2442;440;O
1513;441;O
3661;442;O
1176;443;O
794;444;O
1861;445;O
2268;446;O
151;447;O
2218;448;O
3596;449;O
1286;450;O
3315;451;O
2281;452;O
1106;453;O
1030;454;O
2284;455;O
2940;456;O
3388;457;O
2572;458;O
2662;459;O
1455;460;O
1221;461;O
1799;462;O
3527;463;O
1482;464;O
845;465;O
1629;466;O
3640;467;O
971;468;O
2186;469;O
3517;470;O
600;471;O
2653;472;O
2388;473;O
1933;474;O
2469;475;O
2242;476;O
517;477;O
1095;478;O
1868;479;O
1973;480;O
501;481;O
1622;482;O
2023;483;O
1906;484;O
455;485;O
2543;486;O
3549;487;O
3379;488;O
2599;489;O
3542;490;O
2886;491;O
3310;492;O
599;493;O
204;494;O
1423;495;O
2584;496;O
2935;497;O
154;498;O
1365;499;O
2237;500;O
2747;501;O
